NodeID,SeqLength,N_Asms,N_Occurrences,Jaccard_Cont_WiRv,Jaccard_Cont_WiIS6110,Jaccard_Cont_WiRv_InsSeqAndPhages,IsSVNode,MaxJC_ToOtherNode
KFIMOGUTDY,2163,152,152,1.0,0.0,0.0,False,0.0
ATBBUHMJKV,481,146,162,1.0,0.0,0.0,True,0.04878048780487805
TGPAFDLKFI,126,0,0,1.0,0.0,0.0,True,0.0
BVVOIVAFVS,904,150,150,0.9290617848970252,0.0,0.0,True,0.0
DPAVOAIJBQ,7058,152,152,1.0,0.0,0.0,False,0.0025611838360842347
NWKLTJIBLJ,134,0,0,0.33653846153846156,0.0,0.0,True,0.27884615384615385
LHWRUUPTDC,192,0,0,1.0,0.0,0.0,True,0.0
TLGUCBKBYB,103,0,0,1.0,0.0,0.0,True,0.2191780821917808
WHNOQVTIUY,500,152,296,1.0,0.0,0.0,False,0.0
YBGTJCDFUG,742,151,151,0.9564606741573034,0.0,0.0,True,0.0
UEJACVTRCJ,2829,151,151,1.0,0.0,0.0,True,0.0
GZXAQUNZRP,107,0,0,1.0,1.0,1.0,True,0.0
ZEBEVKXOMS,116,0,0,1.0,0.0,0.0,True,0.0
ORZKILTYOH,1623,152,152,1.0,0.0,0.0,False,0.0
AGUCLLXCDP,875,152,152,1.0,0.0,0.0,False,0.05635491606714628
VDNXNFGHDL,301,152,218,1.0,0.0,0.0,False,0.0
GNWFHYUEZZ,128,0,0,0.6836734693877551,0.0,0.0,True,0.0
WTJGYCHLVO,285,150,150,0.7019607843137254,0.0,0.0,True,0.0
OZUYXEADQS,3339,151,151,1.0,0.0,0.0,True,0.0
DQHGPXKGRB,145,0,0,1.0,0.0,0.0,True,0.08695652173913043
ZBCITNIEVS,104,0,0,1.0,0.0,0.0,True,0.7162162162162162
GPOTWVSLFG,7149,152,152,1.0,0.0,0.0,False,0.0
RHVPXLMWBX,113,0,0,1.0,0.0,0.0,True,0.5974025974025974
WDXVWIHWKW,101,0,0,0.8873239436619719,0.0,0.0,True,0.4084507042253521
YUSIDAOGTG,1682,152,152,1.0,0.0,0.0,False,0.0
CUSDQGJIHH,164,0,0,1.0,0.0,0.0,True,0.0
QGJVCKZPVI,255,150,150,1.0,0.0,0.0,True,0.022222222222222223
QIAOEEACYX,154,0,0,0.8064516129032258,0.0,0.0,True,0.45161290322580644
YXKHABWEKU,3227,152,152,0.990303409446356,0.0,0.0,False,0.0009383797309978105
PPZTFNGKIB,2465,152,152,0.9872375463153561,0.0,0.0,False,0.0008233841086867024
CJHRGPUAOA,6253,152,152,0.9900369596657561,0.0,0.0,False,0.0
OMFVFUHJEB,120,0,0,1.0,0.0,0.0,True,0.5411764705882353
MDZDZCWRPA,1058,137,137,1.0,0.0,0.0,True,0.0
BJMGILFBQR,124,0,0,1.0,0.0,0.0,True,0.09574468085106383
NADKLCZNJH,6730,152,152,0.9907462686567164,0.0,0.0,False,0.0
KIPICPJTMQ,126,0,0,0.03125,0.0,0.0,True,0.03125
FZORLTTYQB,10840,152,152,0.9948974858521199,0.0,0.0,False,0.005659152054921607
YBGJHMRKUH,34832,152,152,0.9973277397850698,0.0,0.0,False,0.00022987184644560657
ABQPNJELNC,1389,146,146,1.0,0.0,0.0,True,0.0
WYYHNZCNSJ,3481,152,152,1.0,0.0,0.0,False,0.0
NVGFMCFBXT,102,0,0,0.875,0.0,0.0,True,0.7777777777777778
DQWBTTWAXC,203,152,152,1.0,0.0,0.0,False,0.0
FEQDITKFMB,4501,152,152,0.9930274403958614,0.0,0.0,False,0.002249212775528565
ZQAYBKOCDG,252,137,137,1.0,0.0,0.0,True,0.08108108108108109
HVNFWEIBWY,5856,152,152,0.9946790250600756,0.0,0.0,False,0.0
ZMBLUIKXVP,180,0,0,1.0,0.0,0.0,True,0.0
HDIAEDPJID,177,0,0,1.0,0.0,0.0,True,0.0
RPRLTXPMAJ,3749,152,152,0.9922022048937886,0.0,0.0,False,0.0
OAFDOJKYLA,174,0,0,1.0,0.0,0.0,True,0.0
BYFSUYDQGZ,138,0,0,0.0,0.0,0.0,True,0.26851851851851855
TGTRQIIUQM,274,146,146,0.0,0.0,0.0,True,0.0
UZGEUNANNY,140,0,0,0.0,0.0,0.0,True,0.0
YTDDLBQSRB,1319,151,151,0.9759503491078355,0.0,0.0,True,0.0
FDPWLYMCQL,114,0,0,0.6842105263157895,0.0,0.0,True,0.0
FZEGMXSJVG,956,151,151,1.0,0.0,0.0,True,0.0
AHSISUTWRI,867,151,151,1.0,0.0,0.0,True,0.0
YCKEGUYNLZ,236,150,150,1.0,0.0,0.0,True,0.0
IFMVZDEENV,114,0,0,1.0,0.0,0.0,True,0.0
TEEUUSJRKB,1658,152,152,0.980958230958231,0.0,0.0,False,0.002457002457002457
WIMGXSABHS,100,0,0,1.0,0.0,0.0,True,0.34285714285714286
CJGDYCBODH,579,1,1,0.0,0.0,0.0,True,0.0
FVUSHCMGAI,383,123,126,0.0,0.0,0.0,True,0.0
EHTIOBSYXS,15939,152,152,1.0,0.0,0.0,False,0.0
PRSPKDUPPT,106,0,0,1.0,0.0,0.0,True,0.24528301886792453
NQRDMGGUOZ,176,0,0,0.9285714285714286,0.0,0.0,True,0.5119047619047619
VLCGQSIIPA,104,0,0,0.972972972972973,0.0,0.0,True,0.3918918918918919
MJPBRDTRTK,12247,152,152,0.9974619289340102,0.0,0.0,False,0.0
DGVOJIFXDY,110,0,0,1.0,0.0,0.0,True,0.8625
OGRFDKXDWM,764,152,154,0.9577656675749319,0.0,0.0,False,0.008174386920980926
ZJWMMDWQBB,100,0,0,0.4745762711864407,0.0,0.0,True,0.4745762711864407
DLJGDSODFR,1452,148,148,1.0,0.0,0.0,True,0.0
WFYFVDXWCT,12946,152,152,0.9975998761226386,0.0,0.0,False,0.0005419634561783834
IANBVEROSE,12832,152,152,0.9921106077175441,0.0,0.0,False,0.0
RGSGKWBSSM,170,0,0,0.55,0.0,0.0,True,0.3
VNTGMGNBZR,2045,151,151,1.0,0.0,0.0,True,0.0
MQONUHZVSH,652,145,145,1.0,0.0,0.0,True,0.0
FKFSBYFKNU,114,0,0,1.0,0.0,0.0,True,1.0
MNULEFKXKQ,73572,152,152,0.9937450708438715,0.0,0.0,False,1.3597672078540155e-05
OHZQKRCITD,2540,152,152,0.9717131474103585,0.0,0.09243027888446215,False,0.0
EPWELNZVFU,641,149,149,1.0,0.0,0.0,True,0.0
QCUDQNYNGB,264,150,150,1.0,0.0,0.0,True,0.0
LADKIBWXBQ,126,0,0,1.0,0.0,0.0,True,0.0
MQOUPLIBCP,2702,152,152,1.0,0.0,0.0,False,0.0
ELJSOFYQBD,879,151,151,1.0,0.0,0.0,True,0.0
JXJEUHELIQ,2427,152,152,1.0,0.0,0.0,False,0.0021061499578770007
VYHOZIBVKK,377,151,151,1.0,0.0,0.0,True,0.0
MBKFCUXRWN,5225,151,151,0.9940327237728586,0.0,0.0,True,0.0028873917228103944
HRBKTNWMQN,136,0,0,0.7075471698113207,0.0,0.2830188679245283,True,0.0
KYXMEBICUY,126,0,0,1.0,0.0,0.0,True,0.09375
NVCDPDYPNP,172,0,0,0.7183098591549296,0.0,0.0,True,0.36619718309859156
SYQAYHMGEI,104,0,0,1.0,0.0,0.0,True,0.0
HTXNPVJXQK,146,0,0,1.0,0.0,0.0,True,0.0
XRKYFDWUQY,12627,152,152,0.997539096610304,0.0,0.0,False,0.0
JKBVEVQXOB,15503,152,152,0.9939895301492924,0.0,0.0,False,0.0
OTNNPJDVXV,20332,152,152,0.9894581280788177,0.0,0.0,False,0.0002463054187192118
UJVJEZFTBE,589,152,298,0.889087656529517,0.0,0.889087656529517,False,0.0
GADOCKLFRD,7605,152,152,0.9918151815181518,0.0,0.0,False,0.0
SOVTPRTRAY,4063,152,152,1.0,0.0,0.0,False,0.0017356806347632037
WKZZTZFEPJ,309,152,152,1.0,0.0,0.0,False,0.0
CLKIOCCUHM,72,0,0,0.23809523809523808,0.0,0.0,True,1.0
GZIBPRETJN,934,1,1,0.0,0.0,0.0,True,0.008168028004667444
CBMQOUUGXJ,1554,137,137,1.0,0.0,0.0,True,0.0
MRSAHNRZFQ,144,0,0,0.868421052631579,0.0,0.0,True,0.32456140350877194
GFZSZETPOK,161,0,0,1.0,0.0,0.0,True,0.4351145038167939
OBVFEIXJLH,1022,151,151,1.0,0.0,0.2590725806451613,True,0.0
AFJFYTXIBT,478,152,220,1.0,0.0,0.0,False,0.0
ZWRXIBRORR,2504,152,152,0.9749393694421988,0.0,0.246160064672595,False,0.0
OLJJMXACAX,20565,152,152,0.9969781157089244,0.0,0.0,False,0.0025832236681776087
LNXFVFYGSH,375,151,151,1.0,0.0,0.0,True,0.0782608695652174
CYPSHIJYBP,150,0,0,1.0,0.0,0.0,True,0.016666666666666666
BEJWECGAOU,140,0,0,1.0,0.0,0.9363636363636364,True,0.0
DBVPNZLBZY,183,0,0,0.9215686274509803,0.0,0.0,True,0.3790849673202614
FEFRACPXDT,102,0,0,0.0,0.0,0.0,True,0.0
GDMVKAPZHB,127,0,0,0.9175257731958762,0.0,0.0,True,0.0
BZZDQNHSTY,11101,152,152,0.9971998916087075,0.0,0.0,False,0.0
UFOOSLZPWH,717,6,6,0.01466275659824047,0.0,0.0,True,0.016129032258064516
ILMOBMECTS,108,0,0,1.0,0.0,0.0,True,0.12962962962962962
RWOHRNBYXZ,2586,152,152,0.9757433489827856,0.0,0.0,False,0.0
UOBWROKITJ,108,0,0,1.0,0.0,0.0,True,0.0
RREPTJZMHV,208,139,508,1.0,0.0,0.0,True,0.42134831460674155
NARUBTXBEN,598,1,1,0.0,0.0,0.0,True,0.0
WHTHSFNKNK,1983,152,152,1.0,0.0,0.0,False,0.0
SELGOOWQVK,1557,151,151,1.0,0.0,0.0,True,0.0
LOQRCZRRWP,1249,152,152,0.9745693191140279,0.0,0.0,False,0.0
JGNWQNDQUE,140,0,0,1.0,0.0,0.0,True,0.00909090909090909
QGKKZUZRQU,927,152,152,1.0,0.0,0.0,False,0.006688963210702341
QSMKWXBYEV,105,0,0,1.0,0.0,0.0,True,0.44
JGTWYPLKNL,940,1,1,0.0,0.0,0.0,True,0.0
DDWOZPEICU,202,126,127,1.0,0.0,0.0,True,0.0
CZKUPCSZHS,1443,146,146,1.0,0.0,0.0,True,0.03862660944206009
YSRIJKELXL,110,0,0,1.0,0.0,0.0,True,0.425
FNWUSPDZYW,11061,152,152,0.9915692140331792,0.0,0.0,False,0.0
OXAKGXCTEO,129,0,0,1.0,0.0,0.0,True,0.0
XKWBHWRLWM,1170,149,149,0.9728070175438597,0.0,0.0,True,0.0
SBSTSYRFSL,8327,152,152,1.0,0.0,0.0,False,0.0033747137519585394
NQJDHRIATP,246,149,149,1.0,0.0,0.0,True,0.0
NWXUQVPAVW,159,0,0,1.0,0.0,0.0,True,0.6309523809523809
